Total_Area_m2,Living_Area_m2,Rooms,Building_Age,Floor,Total_Floors,Bathrooms,Balcony,Elevator,In_Residential_Complex,Maintenance_Fee,Deposit,Price_USD,Neighborhood_Bahcelievler Mh.,Neighborhood_Balbey Mah.,Neighborhood_Barracks Mh.,Neighborhood_Bayindir Mh.,Neighborhood_Caglayan Mh.,Neighborhood_Caybasi Mh.,Neighborhood_Demircikara Mah.,Neighborhood_Doguyaka Mh.,Neighborhood_Dutlubahce Mh.,Neighborhood_Elmali Mh.,Neighborhood_Ermenek Mah.,Neighborhood_Etiler Mah.,Neighborhood_Fener Mah.,Neighborhood_Gebizli Mah.,Neighborhood_Guzelbag Mh.,Neighborhood_Guzeloba Mh.,Neighborhood_Guzeloluk Mh.,Neighborhood_Hashemiscan Mh.,Neighborhood_Hospitable Mah.,Neighborhood_Kircami Mh.,Neighborhood_Kizilarik Mh.,Neighborhood_Kizilsaray Mh.,Neighborhood_Kiziltoprak Mh.,Neighborhood_Mehmetcik Mh.,Neighborhood_Meltem Mah.,Neighborhood_Meydankavagi Mh.,Neighborhood_Muratpasa Mh.,Neighborhood_Officers' Houses Mah.,Neighborhood_Republic Mah.,Neighborhood_Sea District.,Neighborhood_Security Mh.,Neighborhood_Sedir Mah.,Neighborhood_Selcuk Mh.,Neighborhood_Sinan Mah.,Neighborhood_Sirinyalı Mh.,Neighborhood_Soguksu Mh.,Neighborhood_Tahilpazari Mh.,Neighborhood_Topcular Mh.,Neighborhood_Triangle Mh.,Neighborhood_Varlik Mh.,Neighborhood_Yenigol Mh.,Neighborhood_Yenigun Mh.,Neighborhood_Yesilbahce Mh.,Neighborhood_Yesildere Mh.,Neighborhood_Yesilova Mh.,Neighborhood_Yildiz Mh.,Neighborhood_Youth Mh.,Neighborhood_Yuksekalan Mh.,Neighborhood_Zerdalilik Mah.,Heating_Type_Boiler (Electric),Heating_Type_Central,Heating_Type_Central (Share Meter),Heating_Type_Combi Boiler (Natural Gas),Heating_Type_Fancoil Unit,Heating_Type_Fireplace,Heating_Type_Floor Heating,Heating_Type_Natural Gas Stove,Heating_Type_Solar Energy,Heating_Type_Stove,Heating_Type_Underfloor Heating,Parking_Open Parking Lot,Parking_Parking Garage,Furnished_1
90.0,80.0,2,23.0,0.0,4.0,1.0,0,0,0,100,15000,508.4745762711864,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
145.0,135.0,3,0.0,1.0,5.0,1.0,1,1,1,1500,30000,983.0508474576272,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
145.0,130.0,3,13.0,3.0,4.0,1.0,1,0,0,500,25000,838.9830508474577,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
230.0,200.0,3,7.5,2.0,3.0,2.0,0,0,0,0,30000,1016.9491525423728,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
320.0,300.0,4,18.0,8.0,8.0,3.0,1,1,1,0,37500,1271.1864406779662,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
140.0,130.0,3,28.0,0.0,10.0,1.0,1,1,0,0,50000,847.457627118644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
120.0,115.0,3,31.0,1.0,3.0,1.0,1,0,0,100,13000,440.6779661016949,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
100.0,90.0,2,7.5,3.0,4.0,1.0,1,1,0,0,0,474.5762711864407,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
155.0,145.0,3,13.0,6.0,9.0,1.0,1,1,1,0,25000,847.457627118644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
85.0,80.0,2,23.0,4.0,4.0,1.0,1,0,0,0,22000,389.8305084745763,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
